Score_name,factor1,factor2,factor3,num,score_size,factor_num,repressor
GSX1,GSX1,,,1,10,1,0
GSX2,GSX2,,,1,10,1,0
GSX2-2,GSX2,,,2,8,1,0
HAND2,HAND2,,,1,10,1,0
HES1,HES1,,,1,10,1,0
HES2,HES2,,,1,10,1,0
HES5,HES5,,,1,12,1,0
HES6,HES6,,,1,10,1,0
HES7,HES7,,,1,12,1,0
HESX1,HESX1,,,1,10,1,0
HEY1,HEY1,,,1,10,1,0
HEY2,HEY2,,,1,10,1,0
HIC2,HIC2,,,1,9,1,0
HIF1A,HIF1A,,,1,10,1,0
HINFP,HINFP,,,1,10,1,0
HINFP-2,HINFP,,,2,12,1,0
HLF,HLF,,,1,12,1,0
HLF-2,HLF,,,2,12,1,0
HLF-3,HLF,,,3,14,1,0
HMBOX1,HMBOX1,,,1,10,1,0
HNF1A,HNF1A,,,1,15,1,0
HNF1B,HNF1B,,,1,12,1,0
HNF1B-2,HNF1B,,,2,13,1,0
HNF4A,HNF4A,,,1,15,1,0
HNF4A-2,HNF4A,,,2,13,1,0
HNF4A-3,HNF4A,,,3,15,1,0
HNF4G,HNF4G,,,1,15,1,0
HNF4G-2,HNF4G,,,2,13,1,0
HOXA1,HOXA1,,,1,8,1,0
HOXA10,HOXA10,,,1,11,1,0
HOXA13,HOXA13,,,1,10,1,0
HOXA13-2,HOXA13,,,2,11,1,0
HOXA2,HOXA2,,,1,10,1,0
HOXA2-2,HOXA2,,,2,8,1,0
HOXA4,HOXA4,,,1,8,1,0
HOXA5,HOXA5,,,1,8,1,0
HOXA5-2,HOXA5,,,2,8,1,0
HOXA6,HOXA6,,,1,10,1,0
HOXA7,HOXA7,,,1,8,1,0
HOXA9,HOXA9,,,1,10,1,0
HOXB13,HOXB13,,,1,10,1,0
HOXB13-2,HOXB13,,,2,14,1,0
HOXB2,HOXB2,,,1,10,1,0
HOXB2-2,HOXB2,,,2,8,1,0
HOXB3,HOXB3,,,1,10,1,0
HOXB4,HOXB4,,,1,8,1,0
HOXB5,HOXB5,,,1,8,1,0
HOXB6,HOXB6,,,1,8,1,0
HOXB7,HOXB7,,,1,10,1,0
HOXB8,HOXB8,,,1,8,1,0
HOXB9,HOXB9,,,1,10,1,0
HOXC10,HOXC10,,,1,10,1,0
HOXC11,HOXC11,,,1,11,1,0
HOXC12,HOXC12,,,1,11,1,0
HOXC13,HOXC13,,,1,11,1,0
HOXC4,HOXC4,,,1,8,1,0
HOXC8,HOXC8,,,1,8,1,0
HOXC9,HOXC9,,,1,10,1,0
HOXD10,HOXD10,,,1,11,1,0
HOXD11,HOXD11,,,1,10,1,0
HOXD12,HOXD12,,,1,11,1,0
HOXD13,HOXD13,,,1,10,1,0
HOXD13-2,HOXD13,,,2,11,1,0
HOXD3,HOXD3,,,1,8,1,0
HOXD4,HOXD4,,,1,8,1,0
HOXD8,HOXD8,,,1,8,1,0
HOXD9,HOXD9,,,1,10,1,0
HSF1,HSF1,,,1,15,1,0
HSF1-2,HSF1,,,2,13,1,0
HSF2,HSF2,,,1,13,1,0
HSF4,HSF4,,,1,13,1,0
IKZF1,IKZF1,,,1,12,1,0
INSM1,INSM1,,,1,12,1,0
IRF1,IRF1,,,1,12,1,0
IRF1-2,IRF1,,,2,21,1,0
IRF2,IRF2,,,1,18,1,0
IRF3,IRF3,,,1,21,1,0
IRF4,IRF4,,,1,15,1,0
IRF5,IRF5,,,1,14,1,0
IRF6,IRF6,,,1,9,1,0
IRF7,IRF7,,,1,14,1,0
IRF8,IRF8,,,1,14,1,0
IRF9,IRF9,,,1,15,1,0
ISL2,ISL2,,,1,8,1,0
ISX,ISX,,,1,8,1,0
JDP2,JDP2,,,1,9,1,0
JDP2-2,JDP2,,,2,12,1,0
JUN,JUN,,,1,13,1,0
2-Jun,JUN,,,2,14,1,0
JUN-JUNB,JUN,JUNB,,1,10,2,0
JUN-JUNB-2,JUN,JUNB,,2,12,2,0
JUNB,JUNB,,,1,11,1,0
JUNB-2,JUNB,,,2,13,1,0
JUNB-3,JUNB,,,3,10,1,0
JUNB-4,JUNB,,,4,12,1,0
JUND,JUND,,,1,11,1,0
JUND-2,JUND,,,2,13,1,0
JUND-3,JUND,,,3,15,1,0
KLF10,KLF10,,,1,11,1,0
KLF11,KLF11,,,1,11,1,0
KLF13,KLF13,,,1,18,1,0
KLF14,KLF14,,,1,14,1,0
KLF15,KLF15,,,1,11,1,0
KLF16,KLF16,,,1,11,1,0
KLF17,KLF17,,,1,15,1,0
KLF2,KLF2,,,1,11,1,0
KLF3,KLF3,,,1,11,1,0
KLF4,KLF4,,,1,11,1,0
KLF4-2,KLF4,,,2,12,1,0
KLF5,KLF5,,,1,10,1,0
KLF6,KLF6,,,1,11,1,0
KLF9,KLF9,,,1,13,1,0
KLF9-2,KLF9,,,2,16,1,0
LBX1,LBX1,,,1,8,1,0
LBX2,LBX2,,,1,10,1,0
LEF1,LEF1,,,1,15,1,0
LHX1,LHX1,,,1,8,1,0
LHX2,LHX2,,,1,10,1,0
LHX2-2,LHX2,,,2,11,1,0
LHX5,LHX5,,,1,8,1,0
LHX6,LHX6,,,1,10,1,0
LHX9,LHX9,,,1,8,1,0
LHX9-2,LHX9,,,2,8,1,0
LMX1A,LMX1A,,,1,8,1,0
LMX1A-2,LMX1A,,,2,8,1,0
LMX1B,LMX1B,,,1,8,1,0
LMX1B-2,LMX1B,,,2,11,1,0
MAF,MAF,,,1,15,1,0
MAF-NFE2,MAF,NFE2,,1,15,2,0
MAFA,MAFA,,,1,15,1,0
MAFF,MAFF,,,1,18,1,0
MAFF-2,MAFF,,,2,21,1,0
MAFF-3,MAFF,,,3,16,1,0
MAFG,MAFG,,,1,21,1,0
MAFG-2,MAFG,,,2,15,1,0
MAFK,MAFK,,,1,15,1,0
MAFK-2,MAFK,,,2,19,1,0
MAFK-3,MAFK,,,3,15,1,0
MAX,MAX,,,1,10,1,0
MAX-2,MAX,,,2,10,1,0
MAX-3,MAX,,,3,10,1,0
MAX-MYC,MAX,MYC,,1,11,2,0
MAZ,MAZ,,,1,11,1,0
MEF2A,MEF2A,,,1,10,1,0
MEF2A-2,MEF2A,,,2,15,1,0
MEF2A-3,MEF2A,,,3,12,1,0
MEF2A-4,MEF2A,,,4,15,1,0
MEF2B,MEF2B,,,1,12,1,0
MEF2C,MEF2C,,,1,15,1,0
MEF2D,MEF2D,,,1,12,1,0
MEIS1,MEIS1,,,1,7,1,0
MEIS1-2,MEIS1,,,2,13,1,0
MEIS2,MEIS2,,,1,8,1,0
MEIS2-2,MEIS2,,,2,15,1,0
MEIS3,MEIS3,,,1,8,1,0
MEOX1,MEOX1,,,1,10,1,0
MEOX2,MEOX2,,,1,10,1,0
MGA,MGA,,,1,8,1,0
MITF,MITF,,,1,18,1,0
MITF-2,MITF,,,2,18,1,0
MIXL1,MIXL1,,,1,10,1,0
MLX,MLX,,,1,10,1,0
MLXIPL,MLXIPL,,,1,10,1,0
MNT,MNT,,,1,10,1,0
MNX1,MNX1,,,1,10,1,0
MSANTD3,MSANTD3,,,1,10,1,0
MSC,MSC,,,1,10,1,0
MSGN1,MSGN1,,,1,12,1,0
MSX1,MSX1,,,1,8,1,0
MSX2,MSX2,,,1,8,1,0
MTF1,MTF1,,,1,14,1,0
MXI1,MXI1,,,1,13,1,0
MXI1-2,MXI1,,,2,10,1,0
MYB,MYB,,,1,10,1,0
MYBL1,MYBL1,,,1,12,1,0
MYBL2,MYBL2,,,1,15,1,0
MYC,MYC,,,1,12,1,0
MYCN,MYCN,,,1,12,1,0
MYF5,MYF5,,,1,12,1,0
MYF6,MYF6,,,1,10,1,0
MYOD1,MYOD1,,,1,13,1,0
MYOG,MYOG,,,1,12,1,0
MZF1,MZF1,,,1,6,1,0
MZF1-2,MZF1,,,2,13,1,0
MZF1-3,MZF1,,,3,10,1,0
NEUROD1,NEUROD1,,,1,13,1,0
NEUROD2,NEUROD2,,,1,10,1,0
NEUROG1,NEUROG1,,,1,10,1,0
NEUROG2,NEUROG2,,,1,10,1,0
NEUROG2-2,NEUROG2,,,2,13,1,0
NFATC2,NFATC2,,,1,7,1,0
NFATC3,NFATC3,,,1,10,1,0
NFATC4,NFATC4,,,1,10,1,0
NFE2,NFE2,,,1,11,1,0
NFE2L1,NFE2L1,,,1,16,1,0
NFE2L2,NFE2L2,,,1,11,1,0
NFIA,NFIA,,,1,10,1,0
NFIB,NFIB,,,1,21,1,0
NFIC,NFIC,,,1,6,1,0
NFIC-2,NFIC,,,2,11,1,0
NFIC-3,NFIC,,,3,17,1,0
NFIC-TLX1,NFIC,TLX1,,1,14,2,0
NFIL3,NFIL3,,,1,11,1,0
NFIL3-2,NFIL3,,,2,13,1,0
NFIX,NFIX,,,1,9,1,0
NFIX-2,NFIX,,,2,17,1,0
NFKB1,NFKB1,,,1,10,1,0
NFKB1-2,NFKB1,,,2,11,1,0
NFKB1-3,NFKB1,,,3,11,1,0
NFKB1-4,NFKB1,,,4,13,1,0
NFKB2,NFKB2,,,1,13,1,0
NFYA,NFYA,,,1,16,1,0
NFYA-2,NFYA,,,2,18,1,0
NFYA-3,NFYA,,,3,11,1,0
NFYB,NFYB,,,1,15,1,0
NFYB-2,NFYB,,,2,12,1,0
NFYC,NFYC,,,1,11,1,0
NHLH1,NHLH1,,,1,12,1,0
NHLH1-2,NHLH1,,,2,10,1,0
NHLH2,NHLH2,,,1,18,1,0
NKX2-2,NKX2-2,,,1,14,1,0
NKX2-3,NKX2-3,,,1,10,1,0
NKX2-5,NKX2-5,,,1,11,1,0
NKX2-8,NKX2-8,,,1,9,1,0
NKX3-1,NKX3-1,,,1,7,1,0
NKX3-2,NKX3-2,,,1,9,1,0
NKX6-1,NKX6-1,,,1,8,1,0
NKX6-2,NKX6-2,,,1,8,1,0
NKX6-3,NKX6-3,,,1,9,1,0
NOTO,NOTO,,,1,10,1,0
NR1D1,NR1D1,,,1,15,1,0
NR1D2,NR1D2,,,1,15,1,0
NR1H2-RXRA,NR1H2,RXRA,,1,17,2,0
NR1H4,NR1H4,,,1,11,1,0
NR1H4-RXRA,NR1H4,RXRA,,1,15,2,0
NR1I2,NR1I2,,,1,17,1,0
NR1I3,NR1I3,,,1,9,1,0
NR2C1,NR2C1,,,1,9,1,0
NR2C2,NR2C2,,,1,15,1,0
NR2C2-2,NR2C2,,,2,8,1,0
NR2F1,NR2F1,,,1,14,1,0
NR2F1-2,NR2F1,,,2,13,1,0
NR2F1-3,NR2F1,,,3,15,1,0
NR2F2,NR2F2,,,1,11,1,0
NR2F6,NR2F6,,,1,15,1,0
NR3C1,NR3C1,,,1,18,1,0
NR3C1-2,NR3C1,,,2,17,1,0
NR3C2,NR3C2,,,1,17,1,0
NR4A1,NR4A1,,,1,10,1,0
NR4A1-2,NR4A1,,,2,12,1,0
NR4A2,NR4A2,,,1,8,1,0
NR4A2-RXRA,NR4A2,RXRA,,1,15,2,0
NR5A1,NR5A1,,,1,11,1,0
NR6A1,NR6A1,,,1,17,1,0
NRF1,NRF1,,,1,11,1,0
NRL,NRL,,,1,11,1,0
NRL-2,NRL,,,2,13,1,0
OLIG1,OLIG1,,,1,10,1,0
OLIG2,OLIG2,,,1,10,1,0
OLIG3,OLIG3,,,1,10,1,0
ONECUT1,ONECUT1,,,1,14,1,0
ONECUT1-2,ONECUT1,,,2,16,1,0
ONECUT2,ONECUT2,,,1,14,1,0
ONECUT3,ONECUT3,,,1,14,1,0
OSR1,OSR1,,,1,10,1,0
OSR2,OSR2,,,1,12,1,0
OTX1,OTX1,,,1,8,1,0
OTX2,OTX2,,,1,8,1,0
OTX2-2,OTX2,,,2,12,1,0
OVOL1,OVOL1,,,1,14,1,0
OVOL2,OVOL2,,,1,13,1,0
PAX1,PAX1,,,1,17,1,0
PAX3,PAX3,,,1,10,1,0
PAX3-2,PAX3,,,2,16,1,0
PAX4,PAX4,,,1,8,1,0
PAX5,PAX5,,,1,19,1,0
PAX5-2,PAX5,,,2,12,1,0
PAX6,PAX6,,,1,14,1,0
PAX7,PAX7,,,1,10,1,0
PAX9,PAX9,,,1,17,1,0
PBX1,PBX1,,,1,12,1,0
PBX2,PBX2,,,1,12,1,0
PBX2-2,PBX2,,,2,13,1,0
PBX3,PBX3,,,1,17,1,0
PDX1,PDX1,,,1,8,1,0
PHOX2A,PHOX2A,,,1,11,1,0
PHOX2B,PHOX2B,,,1,16,1,0
PITX1,PITX1,,,1,8,1,0
PITX2,PITX2,,,1,8,1,0
PITX3,PITX3,,,1,9,1,0
PKNOX1,PKNOX1,,,1,12,1,0
PKNOX1-2,PKNOX1,,,2,15,1,0
PKNOX2,PKNOX2,,,1,12,1,0
PLAG1,PLAG1,,,1,14,1,0
PLAGL2,PLAGL2,,,1,10,1,0
POU1F1,POU1F1,,,1,14,1,0
POU2F1,POU2F1,,,1,12,1,0
POU2F2,POU2F2,,,1,13,1,0
POU2F3,POU2F3,,,1,13,1,0
POU3F1,POU3F1,,,1,12,1,0
POU3F2,POU3F2,,,1,12,1,0
POU3F3,POU3F3,,,1,13,1,0
POU3F4,POU3F4,,,1,9,1,0
POU4F1,POU4F1,,,1,14,1,0
POU4F2,POU4F2,,,1,16,1,0
POU4F3,POU4F3,,,1,16,1,0
POU5F1,POU5F1,,,1,11,1,0
POU5F1B,POU5F1B,,,1,9,1,0
POU6F1,POU6F1,,,1,10,1,0
POU6F1-2,POU6F1,,,2,10,1,0
POU6F2,POU6F2,,,1,10,1,0
PPARA-RXRA,PPARA,RXRA,,1,18,2,0
PPARD,PPARD,,,1,16,1,0
PPARG,PPARG,,,1,20,1,0
PPARG-RXRA,PPARG,RXRA,,1,20,2,0
PRDM1,PRDM1,,,1,15,1,0
PRDM1-2,PRDM1,,,2,10,1,0
PRDM1-3,PRDM1,,,3,11,1,0
PRDM4,PRDM4,,,1,11,1,0
PROP1,PROP1,,,1,11,1,0
PROX1,PROX1,,,1,12,1,0
PRRX1,PRRX1,,,1,8,1,0
PRRX2,PRRX2,,,1,8,1,0
RARA,RARA,,,1,18,1,0
RARA-2,RARA,,,2,17,1,0
RARA-RXRA,RARA,RXRA,,1,17,2,0
RARA-RXRG,RARA,RXRG,,1,18,2,0
RARB,RARB,,,1,14,1,0
RARG,RARG,,,1,14,1,0
RAX,RAX,,,1,10,1,0
RAX2,RAX2,,,1,8,1,0
RBPJ,RBPJ,,,1,10,1,0
REL,REL,,,1,10,1,0
RELA,RELA,,,1,10,1,0
RELB,RELB,,,1,11,1,0
REST,REST,,,1,19,1,0
REST-2,REST,,,2,21,1,0
RFX1,RFX1,,,1,14,1,0
RFX2,RFX2,,,1,19,1,0
RFX2-2,RFX2,,,2,16,1,0
RFX3,RFX3,,,1,16,1,0
RFX3-2,RFX3,,,2,14,1,0
RFX4,RFX4,,,1,16,1,0
RFX5,RFX5,,,1,15,1,0
RFX5-2,RFX5,,,2,16,1,0
RFX7,RFX7,,,1,9,1,0
RHOXF1,RHOXF1,,,1,8,1,0
RORA,RORA,,,1,10,1,0
RORA-2,RORA,,,2,14,1,0
RORB,RORB,,,1,11,1,0
RORC,RORC,,,1,12,1,0
RREB1,RREB1,,,1,20,1,0
RUNX1,RUNX1,,,1,11,1,0
RUNX2,RUNX2,,,1,15,1,0
RUNX2-2,RUNX2,,,2,9,1,0
RUNX3,RUNX3,,,1,10,1,0
RUNX3-2,RUNX3,,,2,12,1,0
RXRA-VDR,RXRA,VDR,,1,15,2,0
RXRB,RXRB,,,1,14,1,0
RXRB-2,RXRB,,,2,14,1,0
RXRG,RXRG,,,1,14,1,0
RXRG-2,RXRG,,,2,14,1,0
SCRT1,SCRT1,,,1,15,1,0
SCRT1-2,SCRT1,,,2,16,1,0
SCRT2,SCRT2,,,1,13,1,0
SCRT2-2,SCRT2,,,2,16,1,0
SHOX,SHOX,,,1,8,1,0
SIX1,SIX1,,,1,11,1,0
SIX2,SIX2,,,1,16,1,0
SMAD2-SMAD3-SMAD4,SMAD2,SMAD3,SMAD4,1,13,3,0
SMAD3,SMAD3,,,1,10,1,0
SMAD5,SMAD5,,,1,10,1,0
SNAI1,SNAI1,,,1,10,1,0
SNAI2,SNAI2,,,1,9,1,0
SNAI2-2,SNAI2,,,2,13,1,0
SNAI3,SNAI3,,,1,10,1,0
SOHLH2,SOHLH2,,,1,10,1,0
SOX10,SOX10,,,1,6,1,0
SOX10-2,SOX10,,,2,11,1,0
SOX12,SOX12,,,1,11,1,0
SOX13,SOX13,,,1,11,1,0
SOX14,SOX14,,,1,10,1,0
SOX15,SOX15,,,1,10,1,0
SOX18,SOX18,,,1,8,1,0
SOX2,SOX2,,,1,11,1,0
SOX21,SOX21,,,1,15,1,0
SOX4,SOX4,,,1,16,1,0
SOX4-2,SOX4,,,2,10,1,0
SOX8,SOX8,,,1,16,1,0
SOX8-2,SOX8,,,2,10,1,0
SOX9,SOX9,,,1,9,1,0
SP1,SP1,,,1,10,1,0
SP1-2,SP1,,,2,10,1,0
SP1-3,SP1,,,3,11,1,0
